country;main color;leader language;ArmyNationalitySprite;Model Nationality Picture ;Model Nationality Icon;Model Nationality Name;END
AFG;White;ENG;ENG;;;;X
ALB;DarkBrown;ENG;ITA;;;;X
ALG;LightYellow;FRA;FRA;;;;X
ANG;LightGreen;POR;ENG;;;;X
ARA;Brown;TUR;ENG;;;;X
ARG;LightBlue;SPA;USA;;;;X
ARM;Brown;SOV;SOV;;;;X
AST;LightGray;AST;ENG;;;;X
AUS;DarkBrown;AUS;GER;;;;X
AZB;DarkOrange;SOV;SOV;;;;X
BEL;LightYellow;BEL;FRA;;;;X
BEN;LightBlue;ENG;ENG;;;;X
BHU;Red;ENG;ENG;;;;X
BLR;LightBrown;SOV;SOV;;;;X
BOL;LightGray;SPA;USA;;;;X
BOS;DarkGreen;YUG;FRA;;;;X
BRA;LightBrown;POR;USA;;;;X
BRU;Red;ENG;ENG;;;;X
BUL;LightBrown;BUL;GER;;;;X
BUR;DarkGreen;ENG;ENG;;;;X
CAL;Green;USA;USA;;;;X
CAM;Brown;FRA;FRA;;;;X
CAN;White;ENG;USA;;;;X
CGX;LightBrown;CHI;MIN;;;;X
CHC;LightYellow;CHI;SOV;;;;X
CHI;LightOrange;CHI;MIN;;;;X
CHL;DarkGreen;SPA;USA;;;;X
CMB;Brown;ENG;MIN;;;;X
COL;DarkYellow;SPA;USA;;;;X
CON;Yellow;ENG;FRA;;;;X
COS;White;SPA;MIN;;;;X
CRO;DarkGray;YUG;GER;;;;X
CSA;LightGray;USA;USA;;;;X
CSX;Green;CHI;MIN;;;;X
CUB;LightGray;CUB;USA;;;;X
CXB;DarkGreen;CHI;MIN;;;;X
CYN;DarkBrown;CHI;MIN;;;;X
CYP;Yellow;ENG;ENG;;;;X
CZE;Brown;ENG;FRA;;;;X
DDR;LightGreen;GER;GER;;;;X
DEN;DarkOrange;DEN;MIN;;;;X
DFR;Gray;GER;GER;;;;X
DOM;DarkGray;SPA;USA;;;;X
EAF;LightGray;ENG;ENG;;;;X
ECU;Brown;SPA;USA;;;;X
EGY;Red;ENG;ENG;;;;X
ENG;LightRed;ENG;ENG;;;;X
EQA;DarkBlue;FRA;FRA;;;;X
EST;Blue;EST;GER;;;;X
ETH;Brown;ENG;USA;;;;X
EUS;LightBrown;SPA;FRA;;;;X
FIN;LightGray;FIN;GER;;;;X
FLA;Yellow;BEL;GER;;;;X
FRA;Blue;FRA;FRA;;;;X
GAB;Red;FRA;FRA;;;;X
GEO;DarkGreen;SOV;SOV;;;;X
GER;Gray;GER;GER;;;;X
GLD;Brown;ENG;ENG;;;;X
GRE;LightBlue;ENG;ENG;;;;X
GUA;LightGray;SPA;USA;;;;X
GUI;Green;FRA;FRA;;;;X
GUY;Brown;ENG;MIN;;;;X
HAI;LightBlue;ENG;USA;;;;X
HOL;DarkYellow;HOL;MIN;;;;X
HON;LightGreen;SPA;MIN;;;;X
HUN;Green;HUN;GER;;;;X
ICL;LightGray;ENG;MIN;;;;X
IDC;LightBlue;FRA;MIN;;;;X
IND;DarkYellow;ENG;ENG;;;;X
INO;LightBrown;ENG;MIN;;;;X
IRE;LightGreen;IRE;ENG;;;;X
IRQ;Red;TUR;ENG;;;;X
ISR;LightBrown;ENG;ENG;;;;X
ITA;DarkGreen;ITA;ITA;;;;X
JAP;Yellow;JAP;JAP;;;;X
JOR;DarkGreen;ENG;ENG;;;;X
KAZ;Yellow;SOV;SOV;;;;X
KOR;LightGreen;ENG;JAP;;;;X
KUR;DarkOrange;TUR;SOV;;;;X
KYG;DarkGreen;SOV;SOV;;;;X
LAO;DarkBrown;ENG;JAP;;;;X
LAT;DarkBrown;LAT;GER;;;;X
LBY;LightGreen;ENG;ITA;;;;X
LEB;LightGray;ENG;ENG;;;;X
LIB;LightGray;ENG;USA;;;;X
LIT;DarkYellow;LIT;GER;;;;X
LUX;LightBrown;ENG;MIN;;;;X
MAD;DarkOrange;FRA;FRA;;;;X
MAL;LightOrange;FRA;MIN;;;;X
MAN;DarkGray;CHI;JAP;;;;X
MEN;DarkBlue;CHI;JAP;;;;X
MEX;Green;SPA;USA;;;;X
MIN;Brown;ENG;MIN;;;;X
MLY;Brown;ENG;ENG;;;;X
MON;DarkYellow;CHI;SOV;;;;X
MOR;DarkOrange;ENG;FRA;;;;X
MOZ;Red;POR;MIN;;;;X
MTN;DarkYellow;ENG;MIN;;;;X
NAM;LightYellow;ENG;ENG;;;;X
NEP;Red;ENG;ENG;;;;X
NIC;DarkBrown;SPA;USA;;;;X
NIG;Red;ENG;ENG;;;;X
NOR;LightBrown;NOR;MIN;;;;X
